order_id,settlement_id,confidence,reason
ORD1050,STL1038,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1004,STL1004,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1054,STL1042,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1035,STL1028,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1022,STL1019,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1014,STL1012,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1025,STL1022,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.
ORD1044,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1028,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1006,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1047,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1057,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1055,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1046,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1015,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.
ORD1026,STL1023,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 92%); amount and settlement date are consistent with this order.
ORD1018,STL1015,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 67%); amount and settlement date are consistent with this order.
ORD1034,STL1027,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 92%); amount and settlement date are consistent with this order.
ORD1005,STL1005,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 62%); amount and settlement date are consistent with this order.
ORD1045,STL1036,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 92%); amount and settlement date are consistent with this order.
ORD1051,STL1039,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).
ORD1042,STL1034,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).
ORD1002,STL1002,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).
ORD1010,STL1008,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).
ORD1061,,EXCEPTION,"No settlement found matching this order by ID, fuzzy reference, or amount/date proximity. Possibly missing/delayed settlement."
ORD1027,,EXCEPTION,"No settlement found matching this order by ID, fuzzy reference, or amount/date proximity. Possibly missing/delayed settlement."
ORD1063,,EXCEPTION,"No settlement found matching this order by ID, fuzzy reference, or amount/date proximity. Possibly missing/delayed settlement."
,STL1048,EXCEPTION,Settlement credit has no corresponding order in our records (orphan settlement) -- possible data error or unrecorded sale.
,STL1050,EXCEPTION,Settlement credit has no corresponding order in our records (orphan settlement) -- possible data error or unrecorded sale.
,STL1049,EXCEPTION,Settlement credit has no corresponding order in our records (orphan settlement) -- possible data error or unrecorded sale.
ORD1032,,EXCLUDED,Refunded -- correctly has no settlement.
ORD1058,,EXCLUDED,Refunded -- correctly has no settlement.
ORD1030,,EXCLUDED,Refunded -- correctly has no settlement.
ORD1049,,EXCLUDED,Failed payment -- correctly has no settlement.
ORD1009,,EXCLUDED,Failed payment -- correctly has no settlement.
ORD1038,,EXCLUDED,Failed payment -- correctly has no settlement.
