order_id,settlement_id,confidence,reason,llm_explanation
ORD1050,STL1038,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1004,STL1004,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1054,STL1042,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1035,STL1028,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1022,STL1019,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1014,STL1012,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1025,STL1022,HIGH,Exact transaction ID match in settlement reference; amount matches expected fee-adjusted total.,
ORD1044,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1028,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1006,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1047,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1057,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1055,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1046,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1015,STL1047,HIGH,Part of batched settlement STL1047 (8 orders bundled); combined amount matches expected total.,
ORD1026,STL1023,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 92%); amount and settlement date are consistent with this order.,"The settlement reference note is a near-match to the expected transaction ID at 92% similarity, suggesting a possible typographical or data entry discrepancy, though the settled amount and settlement date both align with the order. A human reviewer should verify that the reference note discrepancy is not indicative of a misapplied payment before approving this match."
ORD1018,STL1015,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 67%); amount and settlement date are consistent with this order.,"The settlement reference note partially matches the expected transaction ID with a similarity score of 67%, suggesting a possible transcription error or data corruption in the reference field. However, the settlement amount and date are consistent with the order, supporting a likely match that a human reviewer should verify by confirming the reference note against the original transaction documentation."
ORD1034,STL1027,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 92%); amount and settlement date are consistent with this order.,"The settlement reference note is a near-match to the expected transaction ID with a 92% similarity score, suggesting a possible typographical error or data corruption in the reference field. Because the settlement amount and date align with the order, this has been flagged as a medium-confidence match that a human reviewer should verify by confirming the reference note discrepancy."
ORD1005,STL1005,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 62%); amount and settlement date are consistent with this order.,"The reference note in the settlement record is only a partial match to the expected transaction ID, with a similarity score of 62%, which may indicate a data entry error or corrupted reference field. However, since the settlement amount and date are consistent with the order, a human reviewer should verify that the reference note corresponds to the correct transaction before approving."
ORD1045,STL1036,MEDIUM,Reference note is a partial/corrupted match to transaction ID (similarity 92%); amount and settlement date are consistent with this order.,"The settlement reference note is a near-match to the expected transaction ID at 92% similarity, suggesting a possible transcription or formatting error in the reference field. The amount and settlement date align with the order, supporting a likely correct match, though a human should verify whether the reference discrepancy is due to a data entry issue or system corruption."
ORD1051,STL1039,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).,"The order and settlement were linked solely on the basis of a fee-adjusted amount match and a plausible settlement date window, as neither record contains a usable reference identifier to confirm the relationship directly. Because this match relies entirely on circumstantial numeric and timing criteria with no corroborating reference data, a human reviewer should verify that ORD1051 and STL1039 genuinely correspond to the same transaction before accepting this pairing."
ORD1042,STL1034,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).,"The order and settlement were linked solely on the basis of a fee-adjusted amount match and a plausible settlement date window, as neither the order nor the settlement record contains a usable reference identifier to confirm the relationship. Because this match rests entirely on circumstantial numeric and timing criteria rather than a direct reference, a human reviewer should verify that ORD1042 and STL1034 genuinely correspond to the same transaction before accepting this pairing."
ORD1002,STL1002,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).,"The order and settlement were linked solely on the basis of a fee-adjusted amount match and a plausible settlement date window, as neither record contains a usable reference identifier to confirm the relationship directly. Because this match relies entirely on circumstantial numeric and timing alignment rather than a confirmed reference, a human reviewer should verify that ORD1002 and STL1002 genuinely correspond to the same transaction before accepting this pairing."
ORD1010,STL1008,LOW,No usable reference on either side. Matched purely on fee-adjusted amount + plausible settlement date window (single unambiguous candidate).,"The order and settlement were linked solely on the basis of a fee-adjusted amount match and a plausible settlement date window, as neither the order nor the settlement record contains a usable reference identifier to confirm the relationship. Because this match relies entirely on circumstantial numeric and timing alignment rather than a direct reference, a human reviewer should verify that ORD1010 and STL1008 genuinely correspond to the same transaction before accepting this pairing."
ORD1061,,EXCEPTION,"No settlement found matching this order by ID, fuzzy reference, or amount/date proximity. Possibly missing/delayed settlement.","Order ORD1061 could not be matched to any settlement record — no match was found by order ID, fuzzy reference lookup, or amount and date proximity checks. A human reviewer should verify whether the corresponding settlement is missing, still pending, or was processed under an unrecognized reference."
ORD1027,,EXCEPTION,"No settlement found matching this order by ID, fuzzy reference, or amount/date proximity. Possibly missing/delayed settlement.","No settlement record could be located for order ORD1027 through any matching method, including exact ID lookup, fuzzy reference matching, or amount and date proximity checks. A human reviewer should verify whether the corresponding settlement is missing, still pending, or was recorded under an unrecognized reference."
ORD1063,,EXCEPTION,"No settlement found matching this order by ID, fuzzy reference, or amount/date proximity. Possibly missing/delayed settlement.","No settlement record could be located for Order ORD1063 through any matching method, including exact ID lookup, fuzzy reference matching, or amount and date proximity checks. A human reviewer should verify whether the corresponding settlement is missing, still pending, or was processed under an unrecognized reference."
,STL1048,EXCEPTION,Settlement credit has no corresponding order in our records (orphan settlement) -- possible data error or unrecorded sale.,"Settlement STL1048 represents a credit received that cannot be matched to any order in the system, making it an orphan settlement. A human should verify whether this corresponds to an unrecorded sale, a data entry error, or a payment received outside the normal order workflow."
,STL1050,EXCEPTION,Settlement credit has no corresponding order in our records (orphan settlement) -- possible data error or unrecorded sale.,"Settlement STL1050 reflects a credit with no matching order found in the system, indicating an orphan settlement that cannot be reconciled against a known transaction. A human reviewer should verify whether this corresponds to an unrecorded sale, a data entry error, or a timing difference where the originating order may not yet have been captured in our records."
,STL1049,EXCEPTION,Settlement credit has no corresponding order in our records (orphan settlement) -- possible data error or unrecorded sale.,"Settlement STL1049 reflects a credit received with no matching order on record, making it an orphan settlement that cannot be reconciled against a known transaction. A human reviewer should verify whether this credit corresponds to an unrecorded sale, a data entry gap, or a posting error in the system."
ORD1032,,EXCLUDED,Refunded -- correctly has no settlement.,
ORD1058,,EXCLUDED,Refunded -- correctly has no settlement.,
ORD1030,,EXCLUDED,Refunded -- correctly has no settlement.,
ORD1049,,EXCLUDED,Failed payment -- correctly has no settlement.,
ORD1009,,EXCLUDED,Failed payment -- correctly has no settlement.,
ORD1038,,EXCLUDED,Failed payment -- correctly has no settlement.,
